time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened,location_name,location_coordinates
2020-02-21,2.00805102e+15,MADRID,5W_39N_2W_41N
2020-02-22,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-23,1.01670365e+15,MADRID,5W_39N_2W_41N
2020-02-24,2.001835e+15,MADRID,5W_39N_2W_41N
2020-02-25,4.59284261e+15,MADRID,5W_39N_2W_41N
2020-02-26,1.48135972e+15,MADRID,5W_39N_2W_41N
2020-02-27,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-02-28,1.87579529e+15,MADRID,5W_39N_2W_41N
2020-02-29,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-01,6.47876288e+14,MADRID,5W_39N_2W_41N
2020-03-02,2.14463474e+15,MADRID,5W_39N_2W_41N
2020-03-03,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-04,1.36530407e+15,MADRID,5W_39N_2W_41N
2020-03-05,-1.30647456e+15,MADRID,5W_39N_2W_41N
2020-03-06,1.87828906e+15,MADRID,5W_39N_2W_41N
2020-03-07,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-08,1.7942391e+15,MADRID,5W_39N_2W_41N
2020-03-09,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-10,2.60877011e+15,MADRID,5W_39N_2W_41N
2020-03-11,1.57962978e+15,MADRID,5W_39N_2W_41N
2020-03-12,2.25939251e+15,MADRID,5W_39N_2W_41N
2020-03-13,1.85146256e+15,MADRID,5W_39N_2W_41N
2020-03-14,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-15,1.70536468e+15,MADRID,5W_39N_2W_41N
2020-03-16,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-17,1.43367512e+15,MADRID,5W_39N_2W_41N
2020-03-18,3.27548728e+15,MADRID,5W_39N_2W_41N
2020-03-19,1.59711057e+15,MADRID,5W_39N_2W_41N
2020-03-20,2.15692654e+15,MADRID,5W_39N_2W_41N
2020-03-21,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-22,1.7162539e+15,MADRID,5W_39N_2W_41N
2020-03-23,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-24,2.28025692e+15,MADRID,5W_39N_2W_41N
2020-03-25,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-26,1.20617741e+15,MADRID,5W_39N_2W_41N
2020-03-27,9.71066336e+14,MADRID,5W_39N_2W_41N
2020-03-28,1.30322354e+15,MADRID,5W_39N_2W_41N
2020-03-29,1.74994496e+15,MADRID,5W_39N_2W_41N
2020-03-30,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-03-31,1.64715311e+15,MADRID,5W_39N_2W_41N
2020-04-01,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-02,1.48272592e+15,MADRID,5W_39N_2W_41N
2020-04-03,1.44831572e+15,MADRID,5W_39N_2W_41N
2020-04-04,1.60810233e+15,MADRID,5W_39N_2W_41N
2020-04-05,1.27619034e+15,MADRID,5W_39N_2W_41N
2020-04-06,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-07,1.81895529e+15,MADRID,5W_39N_2W_41N
2020-04-08,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-09,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-10,-1.267651e+30,MADRID,5W_39N_2W_41N
2020-04-11,9.33808904e+14,MADRID,5W_39N_2W_41N
2020-04-12,1.16559064e+15,MADRID,5W_39N_2W_41N
2020-04-13,1.10595938e+15,MADRID,5W_39N_2W_41N
2020-04-14,1.62538031e+15,MADRID,5W_39N_2W_41N
